time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
10,2025-12-13 09:28:23.740879,72.27116139141157,72.2484162710317,201.81805609663803,88,45.18308023301048,79.89826819946857,95.87792183936229,4.2676106259721225,84.89298323288605,8.489298323288605,19.797725412049093,89.93859448485152,89.93859448485152,2.9999999999999964,74.91203966289129,7.491203966289128
11,2025-12-13 09:28:24.740879,79.5125718465897,79.50006345021085,201.79701861379155,88,52.27680675780268,79.88553018612603,95.86263622335123,4.22442530547211,84.88022832556277,8.488022832556277,19.99883138693605,89.9329258818507,89.9329258818507,2.9999999999999964,74.90278040363204,7.490278040363204
12,2025-12-13 09:28:25.740879,79.85132120579392,79.84743504530987,201.7738629781214,88,52.593297758627855,79.87271505509322,95.84725806611186,4.254203846857631,84.86738350718457,8.486738350718458,20.0,89.92725694761033,89.92725694761033,2.999933439824375,74.89352134980541,7.489352134980542
13,2025-12-13 09:28:26.740879,83.47639496350291,83.46410468496188,201.7506054994212,88,55.8899989886876,79.85909663428701,95.83091596114441,4.575336665508762,84.85356908488532,8.485356908488534,19.99876903076551,89.92158836228415,89.92158836228415,2.9999999999999982,74.88426209054616,7.488426209054616
14,2025-12-13 09:28:27.740879,83.59290791954473,83.5820863422598,201.7262874409717,88,56.000515920160645,79.84545128440394,95.81454154128473,4.582154112386894,84.83973407850735,8.483973407850735,19.999416309712252,89.91591959348888,89.91591959348888,2.9999999999999964,74.8750028312869,7.487500283128691
15,2025-12-13 09:28:28.740879,83.40901516595747,83.4059417324739,201.70193482575306,88,55.842200521397544,79.83184451039774,95.7982134124773,4.563917590675753,84.82595413409106,8.482595413409106,20.0,89.91025065924852,89.91025065924852,2.9998236204006066,74.86574411640913,7.4865744116409125
16,2025-12-13 09:28:29.740879,75.78380590696553,75.77812070471835,201.67763389677583,88,48.950846990076315,79.81991691610192,95.7839002993223,3.9096272081805004,84.81414970411467,8.481414970411468,20.0,89.90458172500816,89.90458172500816,2.917646506461533,74.85673903459906,7.485673903459906
17,2025-12-13 09:28:30.740879,82.45194170967189,82.44565037453378,201.65557089820183,88,54.96940962921003,79.80652281044178,95.76782737253014,4.481209892204962,84.80061948101019,8.480061948101019,19.999999999999996,89.8989127907678,89.8989127907678,2.995030853118798,74.84749511221288,7.484749511221288
18,2025-12-13 09:28:31.740879,79.88951015573619,79.88951015573619,201.63155162262024,88,52.63725504097326,79.79369696857019,95.75243636228423,4.252255114762937,84.78778054648494,8.478778054648494,20.0,89.89324385652743,89.89324385652743,3.0,74.83823585295363,7.4838235852953625
19,2025-12-13 09:28:32.740879,74.9741781303308,74.97405887672508,201.60828185875553,88,48.23260708325904,79.78194438399824,95.73833326079789,3.846038141850862,84.77616811248177,8.477616811248176,19.999999999999993,89.88757492228707,89.88757492228707,2.8954136516151876,74.82929939106593,7.482929939106593
