time_seconds,time_hours,total_power,氢燃料电池_power,氢燃料电池_SOC,氢燃料电池_energy,铁硫电池_power,铁硫电池_SOC,铁硫电池_energy,钠电池_power,钠电池_SOC,钠电池_energy,钒液流电池_power,钒液流电池_SOC,钒液流电池_energy
19,0.005277777777777778,-100.0,-60.0,75.1504166666668,150.3008333333336,-5.0,86.02427777777768,86.02427777777768,-29.998459344790607,92.15516499503305,92.15516499503305,-5.0,82.02374999999998,82.02374999999998
20,0.005555555555555556,-100.0,-60.0,75.15833333333347,150.31666666666695,-5.0,86.02555555555546,86.02555555555546,-29.998457142239676,92.16333124229912,92.16333124229912,-5.0,82.02499999999998,82.02499999999998
21,0.005833333333333334,-100.0,-60.0,75.16625000000015,150.3325000000003,-5.0,86.02683333333323,86.02683333333323,-29.99845492269996,92.17149748896563,92.17149748896563,-5.0,82.02624999999998,82.02624999999998
22,0.006111111111111111,-100.0,-60.0,75.17416666666682,150.34833333333364,-5.0,86.028111111111,86.02811111111099,-29.998452706870758,92.17966373502792,92.17966373502792,-5.0,82.02749999999997,82.02749999999997
23,0.006388888888888889,-100.0,-60.0,75.1820833333335,150.364166666667,-5.0,86.02938888888877,86.02938888888877,-29.998450486071793,92.18782998048701,92.18782998048701,-5.0,82.02874999999997,82.02874999999999
24,0.006666666666666667,-100.0,-60.0,75.19000000000017,150.38000000000034,-5.0,86.03066666666655,86.03066666666655,-29.998448258667388,92.19599622534155,92.19599622534155,-5.0,82.02999999999997,82.02999999999996
25,0.006944444444444444,-100.0,-60.0,75.19791666666684,150.39583333333368,-5.0,86.03194444444432,86.03194444444432,-29.998446019965225,92.20416246958973,92.20416246958973,-5.0,82.03124999999997,82.03124999999996
26,0.007222222222222222,-100.0,-60.0,75.20583333333352,150.41166666666703,-5.0,86.0332222222221,86.03322222222211,-29.998443777818707,92.2123287132285,92.2123287132285,-5.0,82.03249999999997,82.03249999999997
27,0.0075,-100.0,-60.0,75.21375000000019,150.42750000000038,-5.0,86.03449999999987,86.03449999999987,-29.998441522506496,92.22049495625691,92.22049495625691,-5.0,82.03374999999997,82.03374999999997
28,0.0077777777777777776,-100.0,-60.0,75.22166666666686,150.44333333333373,-5.0,86.03577777777764,86.03577777777764,-29.998439269579887,92.22866119867138,92.22866119867138,-5.0,82.03499999999997,82.03499999999997
29,0.008055555555555555,-100.0,-60.0,75.22958333333354,150.45916666666707,-5.0,86.03705555555541,86.03705555555541,-29.998437013922494,92.23682744047254,92.23682744047254,-5.0,82.03624999999997,82.03624999999997
30,0.008333333333333333,-100.0,-60.0,75.23750000000021,150.47500000000042,-5.0,86.03833333333318,86.03833333333317,-29.998434744970773,92.24499368165966,92.24499368165966,-5.0,82.03749999999997,82.03749999999997
31,0.008611111111111111,-100.0,-60.0,75.24541666666688,150.49083333333377,-5.0,86.03961111111096,86.03961111111096,-29.998432471825293,92.25315992222913,92.25315992222913,-5.0,82.03874999999996,82.03874999999996
32,0.008888888888888889,-100.0,-60.0,75.25333333333356,150.50666666666712,-5.0,86.04088888888873,86.04088888888873,-29.998430190271975,92.2613261621798,92.2613261621798,-5.0,82.03999999999996,82.03999999999996
33,0.009166666666666667,-100.0,-60.0,75.26125000000023,150.52250000000046,-5.0,86.0421666666665,86.0421666666665,-29.998427902983423,92.26949240150937,92.26949240150935,-5.0,82.04124999999996,82.04124999999996
34,0.009444444444444445,-100.0,-60.0,75.2691666666669,150.5383333333338,-5.0,86.04344444444428,86.04344444444429,-29.998425614690483,92.27765864021629,92.27765864021629,-5.0,82.04249999999996,82.04249999999996
35,0.009722222222222222,-100.0,-60.0,75.27708333333358,150.55416666666716,-5.0,86.04472222222205,86.04472222222205,-29.998423314003816,92.28582487830029,92.28582487830028,-5.0,82.04374999999996,82.04374999999996
36,0.01,-100.0,-60.0,75.28500000000025,150.5700000000005,-5.0,86.04599999999982,86.04599999999982,-29.99842101022433,92.29399111575799,92.293991115758,-5.0,82.04499999999996,82.04499999999996
37,0.010277777777777778,-100.0,-60.0,75.29291666666693,150.58583333333385,-5.0,86.0472777777776,86.0472777777776,-29.99841869025814,92.30215735258855,92.30215735258855,-5.0,82.04624999999996,82.04624999999996
38,0.010555555555555556,-100.0,-60.0,75.3008333333336,150.6016666666672,-5.0,86.04855555555537,86.04855555555535,-29.99841637167007,92.31032358878757,92.31032358878755,-5.0,82.04749999999996,82.04749999999996
39,0.010833333333333334,-100.0,-60.0,75.30875000000027,150.61750000000055,-5.0,86.04983333333314,86.04983333333314,-29.9984140509394,92.31848982435541,92.3184898243554,-5.0,82.04874999999996,82.04874999999997
40,0.011111111111111112,-100.0,-60.0,75.31666666666695,150.6333333333339,-5.0,86.05111111111091,86.05111111111091,-29.99841172655399,92.3266560592915,92.3266560592915,-5.0,82.04999999999995,82.04999999999997
41,0.01138888888888889,-100.0,-60.0,75.32458333333362,150.64916666666724,-5.0,86.05238888888869,86.05238888888869,-29.99840938648577,92.33482229359484,92.33482229359484,-5.0,82.05124999999995,82.05124999999994
42,0.011666666666666667,-100.0,-60.0,75.3325000000003,150.6650000000006,-5.0,86.05366666666646,86.05366666666647,-29.998407035579103,92.34298852726116,92.34298852726116,-5.0,82.05249999999995,82.05249999999995
43,0.011944444444444445,-100.0,-60.0,75.34041666666697,150.68083333333394,-5.0,86.05494444444423,86.05494444444423,-29.998404685661846,92.35115476028751,92.35115476028751,-5.0,82.05374999999995,82.05374999999995
44,0.012222222222222223,-100.0,-60.0,75.34833333333364,150.69666666666728,-5.0,86.056222222222,86.056222222222,-29.99840232800913,92.35932099267417,92.35932099267417,-5.0,82.05499999999995,82.05499999999995
45,0.0125,-100.0,-60.0,75.35625000000032,150.71250000000063,-5.0,86.05749999999978,86.05749999999978,-29.99839996686431,92.36748722441902,92.36748722441902,-5.0,82.05624999999995,82.05624999999995
46,0.012777777777777779,-100.0,-60.0,75.36416666666699,150.72833333333398,-5.0,86.05877777777755,86.05877777777754,-29.998397596149655,92.37565345552112,92.37565345552112,-5.0,82.05749999999995,82.05749999999995
47,0.013055555555555556,-100.0,-60.0,75.37208333333366,150.74416666666733,-5.0,86.06005555555532,86.06005555555532,-29.99839521965863,92.38381968597784,92.38381968597783,-5.0,82.05874999999995,82.05874999999995
48,0.013333333333333334,-100.0,-60.0,75.38000000000034,150.76000000000067,-5.0,86.0613333333331,86.0613333333331,-29.998392837450858,92.39198591578764,92.39198591578764,-5.0,82.05999999999995,82.05999999999995
49,0.01361111111111111,-100.0,-60.0,75.38791666666701,150.77583333333402,-5.0,86.06261111111087,86.06261111111087,-29.998390442283178,92.40015214494895,92.40015214494895,-5.0,82.06124999999994,82.06124999999994
50,0.013888888888888888,-100.0,-60.0,75.39583333333368,150.79166666666737,-5.0,86.06388888888864,86.06388888888866,-29.99838804513751,92.40831837345823,92.40831837345823,-5.0,82.06249999999994,82.06249999999994
51,0.014166666666666666,-100.0,-60.0,75.40375000000036,150.80750000000072,-5.0,86.06516666666641,86.06516666666641,-29.998385637889324,92.41648460131496,92.41648460131496,-5.0,82.06374999999994,82.06374999999994
52,0.014444444444444444,-100.0,-60.0,75.41166666666703,150.82333333333406,-5.0,86.06644444444419,86.06644444444419,-29.9983832294333,92.42465082851639,92.42465082851639,-5.0,82.06499999999994,82.06499999999994
